"","id","SL.mu","absTA.mu","SL.sd","absTA.sd"
"LL...1","1_1",1.20159815375349,1.45459809693521,0.81482823064439,1.00338071411908
"LH...2","1_1",0.0419096143098225,2.99225728220109,0.00272565673675542,0.0364358567007758
"HL...3","1_1",11.0712276627266,0.138729416225911,13.9053070197396,0.0123092749847187
"HH...4","1_1",6.92455649663087,1.68096952550031,19.8604421355519,0.860914789583759
"LL...5","2_1",1.18464871347801,1.52862161917261,0.75933878078929,0.98514638158489
"LH...6","2_1",0.0542930025278177,2.96491401232044,0.00585133075165127,0.0375176334613315
"HL...7","2_1",10.8577596500753,0.170818426620271,14.5466960245119,0.0178466735150863
"HH...8","2_1",6.29971147143816,1.78670498445981,18.5044765775462,0.79085632176221
"LL...9","3_1",0.785187524672504,1.6000757223507,0.40578890980762,1.01330512304279
"LH...10","3_1",0.0335360722302299,2.99686884472577,0.00191665862569188,0.0280761570590661
"HL...11","3_1",9.93941766499699,0.194563367536589,10.6478023023101,0.026057189782163
"HH...12","3_1",6.04488145363389,1.85456701803866,19.0416471217866,0.766809171943744
"LL...13","4_1",1.33702437486469,1.51911923242604,0.893121946651435,0.899564545913039
"LH...14","4_1",0.0313601539193454,3.01607099503539,0.00204898325312507,0.025394561952999
"HL...15","4_1",10.3570784712071,0.199452381856375,13.8675702346097,0.0280264107333908
"HH...16","4_1",6.86903853273028,1.81517318631937,19.1859293501675,0.771638148532713
"LL...17","5_1",1.27175963973297,1.43794659969354,0.948211676821241,0.879523327119786
"LH...18","5_1",0.0747605444230771,2.99352956996915,0.00861882979151363,0.0171403136147873
"HL...19","5_1",10.8663797422434,0.14964774111007,13.3835249503718,0.0134563778292025
"HH...20","5_1",7.17472977470739,1.67535740104803,18.404103356401,0.713743382881312
"LL...21","1_2",0.85086571670972,1.8525756772937,0.512731283402562,0.943272096914528
"LH...22","1_2",0.00806290732223062,3.09268160800953,0.00010400956427441,0.0741573125814764
"HL...23","1_2",10.3722055658739,0.176870286235236,14.0430716438146,0.0199642551770555
"HH...24","1_2",6.23860500101756,1.6984027312785,17.0555428824996,0.811771739674109
"LL...25","2_2",1.1405009946588,1.4880902259468,0.680119611268264,0.990281228619775
"LH...26","2_2",0.0339575364946098,3.00983021245373,0.00229335778713956,0.0230628662099271
"HL...27","2_2",10.3026634047318,0.165419207357028,12.0538286867353,0.0171074484666431
"HH...28","2_2",6.78093669604741,1.67203544546569,19.1232720617868,0.80874607405441
"LL...29","3_2",1.23378623460592,1.48819956570521,0.825913412918389,0.956267583693743
"LH...30","3_2",0.0433592962997775,2.99929926464041,0.00327655044472165,0.0339472673376262
"HL...31","3_2",10.4138514718216,0.166867650174085,11.5165426668853,0.0174139981677852
"HH...32","3_2",7.07143242265897,1.65945771404176,19.0537197153197,0.780414730920441
"LL...33","4_2",1.24591693251099,1.44200599568647,0.789751900488603,0.997632233694819
"LH...34","4_2",0.0484388401514594,2.99273167935702,0.00395460764558634,0.0397766246791886
"HL...35","4_2",10.4368298785524,0.169089109906728,12.1306190575355,0.0192186286058534
"HH...36","4_2",6.61387332141383,1.74431964201866,17.6336858622517,0.793428287682173
"LL...37","5_2",1.12647281233041,1.57010019840714,0.658685886169515,1.00624294391485
"LH...38","5_2",0.0260028524520433,3.02581380920399,0.0012113980650395,0.0431220898250865
"HL...39","5_2",10.1714092361765,0.177759316896945,11.8498067886331,0.0211909506617877
"HH...40","5_2",6.35793677124099,1.81260596884897,18.6578066040671,0.797448850758467
