"","mean_1","mean_2","mean_3","concentration_1","concentration_2","concentration_3"
"1_1",-3.12324212754033,-2.59073493442366,-0.0192067135358397,0.849555556579172,0.129745358022175,0.494695088119381
"2_1",-3.13051525473788,-2.60487032706067,0.0412299732680561,0.946033110997769,0.114196065092201,0.544155027519767
"3_1",-3.14044691463437,-2.75748714505357,-0.0557777567814376,0.865161781938386,0.115002131576566,0.47949008079046
"4_1",3.12034790312957,-0.533622004685726,-0.109138340091901,0.559316467618714,0.0439534794498863,0.543569720713682
"5_1",3.1376837798583,-1.15574254680663,0.067512657588044,0.800898002574365,0.0390342786995826,0.486001705824417
"1_2",-3.130654667994,-2.61842830142671,-0.0555949084099179,0.905625359675603,0.0792276365203083,0.549964845784149
"2_2",-3.13797918411137,-3.13982967360149,-0.129056954874752,0.925124963763983,0.0643588130854797,0.587722709362876
"3_2",-3.10207967276995,-2.01723658370998,0.0477133172162246,0.558106166175099,0.0182832057139071,0.464575505839391
"4_2",-3.06895012021414,-2.49971143473059,0.0647883263793368,0.389171832408402,0.103575538163202,0.519407111650146
"5_2",3.1041239313486,-0.124234362452258,-0.0773523792836958,0.522670094943289,0.0596433665500772,0.501557522090099
"1_3",3.12903520562239,0.601882133804236,-0.00852164248579468,0.576172700882363,0.0677882180980227,0.472927690002063
"2_3",3.1375429413527,-3.0529375366921,-0.00332359535340778,0.941238921363562,0.0662346790829523,0.458842343993608
"3_3",-3.12563527804191,-2.42255504356353,-0.0221765830742003,0.461102476712565,0.0636966622860297,0.510901288071697
"4_3",3.13638832707092,3.14076116814955,0.0800787700430037,0.942229807172261,0.140874680333383,0.460120383302117
"5_3",-3.12753738982635,1.62531608051139,-0.0191658076174907,0.423911941042117,0.046494623273357,0.490668202932276
"1_4",-3.13890830663589,-2.53079277649526,0.031606901732723,0.903599183584025,0.0662474452672444,0.490508424289873
"2_4",3.13520292424044,-2.77755842701565,0.0183810293634656,0.768995802744376,0.0864676388668604,0.468305917551179
"3_4",-3.13071255550713,2.87308941148467,0.013526136303806,0.69170410328405,0.0589251645837167,0.502662145208015
"4_4",3.13193987377623,0.409732264974439,0.0265374159600228,0.857342780195511,0.0303432676614622,0.46603720753205
"5_4",-3.14112799299688,-3.05424524969081,0.125674671068672,0.957019381621714,0.115972284223992,0.480333857952754
