"time","track_length"
0.0603009144465129,"1k"
0.0298853158950806,"1k"
0.0322325030962626,"1k"
0.0276431679725647,"1k"
0.0285617669423421,"1k"
0.0556018312772115,"5k"
0.0555822332700094,"5k"
0.0518623193105062,"5k"
0.049751349290212,"5k"
0.046323565642039,"5k"
0.0689605355262756,"10k"
0.0796276330947876,"10k"
0.0793450832366943,"10k"
0.0736158490180969,"10k"
0.0740149815877279,"10k"
0.283858450253805,"50k"
0.365797750155131,"50k"
0.356594332059224,"50k"
0.364929501215617,"50k"
0.366421234607697,"50k"
